ID,Name,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
0,Amall Leingang,67,male,2,own,NA,little,1169,6,radio/TV,good
1,Marelda Knoebel,22,female,2,own,little,moderate,5951,48,radio/TV,bad
2,Adalhard Sautter,49,male,1,own,little,NA,2096,12,education,good
3,Wilmot Natter,45,male,2,free,little,little,7882,42,furniture/equipment,good
4,Bronson Strehle,53,male,2,free,little,little,4870,24,car,bad
5,Reynald Wilhelms,35,male,1,free,NA,NA,9055,36,education,good
6,Markus Eyrich,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,good
7,Arik Ristow,35,male,3,rent,little,moderate,6948,36,car,good
8,Rudiger Ploetz,61,male,1,own,rich,NA,3059,12,radio/TV,good
9,Wilpert Altenburg,28,male,3,own,little,moderate,5234,30,car,bad
10,Kuonrada Haselhorst,25,female,2,rent,little,moderate,1295,12,car,bad
11,Adele Fokken,24,female,2,rent,little,little,4308,48,business,bad
12,Idalie Kirchberg,22,female,2,own,little,moderate,1567,12,radio/TV,good
13,Riocard Munzer,60,male,1,own,little,little,1199,24,car,bad
14,Binga Statzer,28,female,2,rent,little,little,1403,15,car,good
15,Melisande Schleyer,32,female,1,own,moderate,little,1282,24,radio/TV,bad
16,Roch Schaf,53,male,2,own,NA,NA,2424,24,radio/TV,good
17,Selik Weyrauch,25,male,2,own,NA,little,8072,30,business,good
18,Wande Drummer,44,female,3,free,little,moderate,12579,24,car,bad
19,Derek Uhlhorn,31,male,2,own,quite rich,NA,3430,24,radio/TV,good
20,Amory Kaufhold,48,male,2,own,little,NA,2134,9,car,good
21,Kurtis Goelz,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
22,Barret Hueser,48,male,1,rent,little,little,2241,10,car,good
23,Lorenz Schellhammer,44,male,2,own,moderate,moderate,1804,12,car,good
24,Luigi Mundhenk,26,male,2,own,NA,NA,2069,10,furniture/equipment,good
25,Einhardt Bake,36,male,1,own,little,little,1374,6,furniture/equipment,good
26,Aldrik Harz,39,male,1,own,little,NA,426,6,radio/TV,good
27,Waldhurga Molt,42,female,2,rent,rich,rich,409,12,radio/TV,good
28,Lambrett Graff,34,male,2,own,little,moderate,2415,7,radio/TV,good
29,Berdy Seiz,63,male,2,own,little,little,6836,60,business,bad
30,Anton Schaus,36,male,2,own,rich,moderate,1913,18,business,good
31,Roswell Schreck,27,male,2,own,little,little,4020,24,furniture/equipment,good
32,Eburhardt Packman,30,male,2,own,moderate,moderate,5866,18,car,good
33,Everard Harlacher,57,male,1,rent,NA,NA,1264,12,business,good
34,Karly Ballmann,33,female,3,own,little,rich,1474,12,furniture/equipment,good
35,Drugi Wormuth,25,male,1,own,little,moderate,4746,45,radio/TV,bad
36,Waldmunt Rehling,31,male,2,free,little,NA,6110,48,education,good
37,Neff Duren,37,male,2,own,little,rich,2100,18,radio/TV,bad
38,Fremont Wahlert,37,male,2,own,little,rich,1225,10,domestic appliances,good
39,Arik Kellen,24,male,2,own,little,moderate,458,9,radio/TV,good
40,Pepin Boehl,30,male,3,own,quite rich,NA,2333,30,radio/TV,good
41,Andreas Solinger,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
42,Sigmund Prechel,44,male,1,own,little,moderate,6204,18,repairs,good
43,Maximillian Kottman,24,male,2,rent,moderate,little,6187,30,car,good
44,Winifreda Kosterman,58,female,1,free,little,little,6143,48,car,bad
45,Irmine Roehr,35,female,3,own,little,NA,1393,11,car,good
46,Von Schaus,39,male,2,own,quite rich,NA,2299,36,radio/TV,good
47,Ballard Hottman,23,female,0,rent,quite rich,little,1352,6,car,good
48,Hugo Betzold,39,male,1,own,little,NA,7228,11,car,good
49,Maddalen Eister,28,female,2,own,moderate,NA,2073,12,radio/TV,good
50,Berowalt Fabrizius,29,male,1,own,NA,moderate,2333,24,furniture/equipment,good
51,Rune Hollander,30,male,3,own,little,moderate,5965,27,car,good
52,Burhardt Seiz,25,male,2,own,little,NA,1262,12,radio/TV,good
53,Dedrik Hackert,31,male,2,own,NA,NA,3378,18,car,good
54,Rich Kleinpeter,57,male,2,free,little,moderate,2225,36,car,bad
55,Silvester Birner,26,male,1,own,NA,NA,783,6,car,good
56,Ross Brenneman,52,male,3,own,NA,moderate,6468,12,radio/TV,bad
57,Gisilberhta Reuther,31,female,2,own,little,NA,9566,36,radio/TV,good
58,Ulrike Fenzel,23,female,3,own,little,rich,1961,18,car,good
59,Ghislaine Westerberg,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
60,Nefen Glaser,27,male,2,own,little,moderate,1391,9,business,good
61,Herman Dorman,50,male,2,own,NA,moderate,1537,15,radio/TV,good
62,Rune Bork,61,male,3,free,little,moderate,1953,36,business,bad
63,Hildehrand Fitting,25,male,2,own,little,moderate,14421,48,business,bad
64,Halfrida Drexler,26,female,2,own,little,NA,3181,24,radio/TV,good
65,Penrod Krauth,48,male,2,own,NA,NA,5190,27,repairs,good
66,Elsje Lier,29,female,2,own,little,NA,2171,12,radio/TV,good
67,Dirk Schricker,22,male,2,own,rich,moderate,1007,12,car,good
68,Huldiberaht Roser,37,male,2,free,little,NA,1819,36,education,bad
69,Eadaion Steuer,25,female,2,own,NA,NA,2394,36,radio/TV,good
70,Adal Wasserman,30,female,2,own,little,NA,8133,36,car,good
71,Gerald Heinrich,46,male,1,rent,NA,NA,730,7,radio/TV,good
72,Penn Brehmer,51,male,3,free,little,little,1164,8,vacation/others,good
73,Bruna Hann,41,female,1,own,little,moderate,5954,42,business,good
74,Roderic Manns,40,male,3,own,NA,little,1977,36,education,bad
75,Wilfredo Zutz,66,male,3,free,little,little,1526,12,car,good
76,Altmann Linzer,34,male,2,own,little,little,3965,42,radio/TV,bad
77,Hewitt Hilgert,51,male,2,own,little,moderate,4771,11,radio/TV,good
78,Lorenz Herlinger,39,male,1,own,NA,NA,9436,54,car,good
79,Gustave Hinsch,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
80,Loralei Oblander,44,female,2,own,NA,NA,5943,24,radio/TV,bad
81,Lothair Kittner,47,male,2,own,quite rich,NA,1213,15,radio/TV,good
82,Oda Bengel,24,female,1,rent,moderate,NA,1568,18,business,good
83,Karoline Loehr,58,female,1,own,little,little,1755,24,vacation/others,good
84,Roderik Hartstein,52,male,1,own,little,little,2315,10,radio/TV,good
85,Karlyn Mosteller,29,female,3,own,little,NA,1412,12,business,good
86,Alarice Schaller,27,female,2,own,little,moderate,1295,18,furniture/equipment,good
87,Williams Wolgemuth,47,male,2,free,moderate,moderate,12612,36,education,bad
88,Bren Preyer,30,male,3,own,moderate,little,2249,18,car,good
89,Martell Duffner,28,male,2,own,little,little,1108,12,repairs,bad
90,Schaffer Adelsperger,56,male,2,own,little,NA,618,12,radio/TV,good
91,Adalwen Exner,54,male,2,own,little,little,1409,12,car,good
92,Magnild Schindler,33,female,1,own,NA,NA,797,12,radio/TV,bad
93,Edingu Appelhans,20,male,2,rent,NA,rich,3617,24,furniture/equipment,good
94,Hubert Flor,54,male,2,own,rich,moderate,1318,12,car,good
95,Hackett Mehrhoff,58,male,2,rent,little,moderate,15945,54,business,bad
96,Tresa Paschke,61,female,2,own,NA,NA,2012,12,education,good
97,Berlyn Jackel,34,male,2,own,moderate,moderate,2622,18,business,good
98,Waldemarr Wambold,36,male,2,own,little,moderate,2337,36,radio/TV,good
99,Derrek Rager,36,male,3,rent,NA,moderate,7057,20,car,good
100,Terell Wissing,41,male,1,rent,moderate,NA,1469,24,car,good
101,Friedrich Meck,24,male,2,rent,little,moderate,2323,36,radio/TV,good
102,Helma Biller,24,female,2,own,little,NA,932,6,radio/TV,good
103,Fritz Sedler,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good
104,Adalrik Meinholz,26,male,2,rent,NA,NA,2445,12,car,good
105,Oswald Banker,39,male,3,own,little,moderate,11938,24,vacation/others,bad
106,Orlan Wissing,39,male,3,own,little,NA,6458,18,car,bad
107,Fonzo Gretzinger,32,male,2,own,little,moderate,6078,12,car,good
108,Verene Andra,30,female,2,own,NA,little,7721,24,furniture/equipment,good
109,Baldwin Roetzer,35,male,2,own,quite rich,moderate,1410,14,business,good
110,Waldhramm Lossing,31,male,2,own,moderate,moderate,1449,6,business,good
111,Jakoba Rieber,23,female,2,rent,little,rich,392,15,education,good
112,Sigwald Augsburger,28,male,1,rent,little,moderate,6260,18,car,good
113,Geneva Wienke,25,female,2,own,little,NA,7855,36,car,bad
114,Howe Appelhans,35,male,2,own,quite rich,little,1680,12,radio/TV,good
115,Hubbard Lochmann,47,male,2,own,NA,NA,3578,48,radio/TV,good
116,Aloisia Berges,30,female,3,own,NA,little,7174,42,radio/TV,bad
117,Gertrud Karras,27,female,2,rent,NA,little,2132,10,furniture/equipment,good
118,Adalicia Dueck,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
119,Gerold Pfluger,36,male,3,own,quite rich,moderate,2366,12,car,good
120,Leoda Zinn,25,female,2,own,little,little,1835,21,radio/TV,bad
121,Gisella Gerbracht,41,female,3,rent,little,NA,3868,24,car,good
122,Herrick Halleck,24,male,1,rent,little,NA,1768,12,furniture/equipment,good
123,Bitten Lulay,63,male,2,free,little,rich,781,10,car,good
124,Gunilla Frantz,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,bad
125,Rodd Froebel,30,male,2,own,little,little,2121,12,car,good
126,Bannruod Buhr,40,male,1,own,little,little,701,12,radio/TV,good
127,Emery Justen,30,male,2,own,little,moderate,639,12,repairs,bad
128,Rollie Nofziger,34,male,3,own,little,moderate,1860,12,car,good
129,Kathe Mende,29,female,2,own,little,little,3499,12,car,bad
130,Marlena Welk,24,female,2,own,NA,moderate,8487,48,car,good
131,Herrick Lux,29,male,2,own,little,little,6887,36,education,bad
132,Tihalt Porath,27,male,1,own,little,NA,2708,15,furniture/equipment,good
133,Hamlet Glaser,47,male,2,free,little,NA,1984,18,furniture/equipment,good
134,Hildemar Hauer,21,female,2,own,moderate,NA,10144,60,radio/TV,good
135,Erna Riel,38,female,2,own,NA,NA,1240,12,radio/TV,good
136,Waren Kuechler,27,male,2,own,rich,NA,8613,27,car,good
137,Wilfrid Rieber,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
138,Robbie Plaster,35,male,2,own,NA,moderate,2728,15,radio/TV,good
139,Adal Kuechler,44,female,1,rent,little,rich,1881,12,radio/TV,good
140,Freddie Uehling,27,male,0,own,rich,rich,709,6,car,good
141,Edeline Gerhard,30,female,3,own,little,moderate,4795,36,radio/TV,good
142,Hewlett Jack,27,male,3,own,little,little,3416,27,radio/TV,good
143,Wilfred Hilgert,22,male,2,own,little,little,2462,18,furniture/equipment,bad
144,Geralynn Lentz,23,female,2,own,little,NA,2288,21,furniture/equipment,good
145,Treffen Banning,30,male,2,own,moderate,moderate,3566,48,business,good
146,Irma Lotzer,39,female,2,own,little,little,860,6,car,good
147,Erna Achen,51,female,2,own,moderate,NA,682,12,car,good
148,Odhert Holstein,28,male,2,own,little,little,5371,36,furniture/equipment,good
149,Emo Lehr,46,male,2,own,rich,NA,1582,18,radio/TV,good
150,Martel Fleischhacker,42,male,2,free,moderate,NA,1346,6,radio/TV,good
151,Meinke Schierman,38,male,2,own,little,NA,1924,10,radio/TV,good
152,Wendall Kriebel,24,male,2,own,little,rich,5848,36,radio/TV,good
153,Ordalf Knapke,29,female,2,rent,rich,moderate,7758,24,car,good
154,Willamar Wiand,36,male,3,rent,moderate,moderate,6967,24,business,good
155,Bemadette Ruppe,20,female,2,rent,little,little,1282,12,furniture/equipment,bad
156,Xiomar Prather,48,male,2,own,moderate,little,1288,9,repairs,good
157,Willaperht Otto,45,male,1,own,little,little,339,12,education,good
158,Herrick Kunz,38,male,2,own,moderate,moderate,3512,24,car,good
159,Bernardo Erath,34,male,1,own,NA,NA,1898,6,radio/TV,good
160,Hardy Sendelbach,36,male,2,own,moderate,NA,2872,24,radio/TV,good
161,Aloysia Thering,30,female,2,own,little,NA,1055,18,car,good
162,Adolphus Augsburger,36,male,2,own,quite rich,NA,1262,15,domestic appliances,good
163,Hobart Pickert,70,male,3,free,little,moderate,7308,10,car,good
164,Alfonso Rusch,36,male,2,own,quite rich,NA,909,36,car,good
165,Herman Gehl,32,male,2,own,quite rich,NA,2978,6,furniture/equipment,good
166,Hedwig Drexler,33,female,2,own,little,little,1131,18,furniture/equipment,bad
167,Gerwalta Garger,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
168,Sente Hauer,25,female,2,rent,little,NA,3972,24,furniture/equipment,good
169,Roderik Strehlow,31,male,2,own,little,moderate,1935,24,business,bad
170,Maximillian Fuge,33,male,2,rent,little,little,950,15,car,bad
171,Dell Kammeraad,26,female,2,own,little,NA,763,12,furniture/equipment,good
172,Suzanne Herres,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
173,Kort Bergt,33,male,2,own,little,moderate,1414,8,radio/TV,good
174,Cord Brosig,26,male,2,own,little,little,3414,21,education,bad
175,Gerhardina Bramer,53,female,3,own,NA,NA,7485,30,car,bad
176,Windell Kunz,42,male,2,own,little,little,2577,12,furniture/equipment,good
177,Rob Ballmann,52,male,2,own,quite rich,little,338,6,radio/TV,good
178,Rolando Wahlert,31,male,3,rent,little,NA,1963,12,radio/TV,good
179,Dedric Kerscher,65,male,2,own,little,little,571,21,car,good
180,Franz Buroker,28,male,2,own,little,NA,9572,36,business,bad
181,Adalbert Zeinert,30,male,3,own,little,moderate,4455,36,business,bad
182,Berrin Fintel,40,male,1,own,NA,little,1647,21,car,bad
183,Gofried Helling,50,male,2,own,rich,NA,3777,24,furniture/equipment,good
184,Bren Niederkorn,36,male,2,own,little,moderate,884,18,car,bad
185,Bannan Wahlert,31,male,2,own,little,NA,1360,15,radio/TV,good
